Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 18,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
como o dinheiro entrou,bombom,ceia ,contribuiçao 21,pagamento dívida ,manutenção bb,POUPANÇA,camisa,empréstimo,utensílios,dedetização,emergência,o pagamento está saindo qual reserva,CONTA CORRENTE ,bombom,ceia ,camisa,empréstimo,pagamento 21,aplicação POUPANÇA,utensílios,dedetização,emergência,GASTOS 21,,21 de Abril 2026,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Valor arrecadado 21,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Valor que precisamos arrecadar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,quanto falta,0.0,,DINHEIRO EM CAIXA,"R$ 1.225,55"
,,,,,,,,,,,,,,,,,,,,,,,,,porcentagem,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dinheiro já utilizado,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Quanto ainda temos em caixa,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Camisa e copo,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Valor gasto,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Valor recebido,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,POUPANÇA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Entradas na conta corrente,0.0,positivo significa que tem dinheiro em conta que precisamos mandar para poupança,,
,,,,,,,,,,,,,,,,,,,,,,,,,Transferido para poupança,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,bombom,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Entradas na conta corrente,130.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,SaÍdas,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Quanto temos,130.0,,,
,,,,,,,,,,,,,,,,,,,,,,,GASTOS 21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,200,,CONTA CORRENTE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,VALOR INICIAL,831.55,tem 200 da manu,,
,,,,,,,,,,,,,,,,,,,,,,,,ENTRADA,manutenção bb,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,pagamento dívida,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,SAÍDA,PAGAMENTOS (MOVIMENTAÇÕES DA PRÓPRIA CONTA CORRENTE),0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,831.55,,,
,,,,,,,,,,,,,,,,,,,,,,,926,,CEIA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Entradas na conta corrente,264.0,,,
,,,,,,,,,,,,,,,,,,,,,,,"633,5",,GASTOS,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,264.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,empréstimo,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,PAGAMENTOS,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,empréstimo,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dívida com a conta da casa,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dedetização,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Entradas na conta corrente,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,GASTOS,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,utensílios,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Entradas na conta corrente,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,GASTOS,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,emergência,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Entradas na conta corrente,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,GASTOS,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Restante,0.0,,,
