File,Rows,Columns,Column_Names
Copyofcachorroquente-Vendaportaria_cleaned.csv,76,6,"Combo , Dogão, Valor, PG, Forma de pagamento, Unnamed: 5"
Copyofcachorroquente-vendacampus_cleaned.csv,28,10,"venda, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10"
CopyofOBRABANHEIROSETEMBRO25-Arrecadações_cleaned.csv,25,13,"Ex-alunas _1, quant, Valor , Método de pagamento, mês inicial, Valor total, dia, Ex-alunas _2, Maio, Junho"
Copyofcachorroquente-valores30_09_cleaned.csv,19,9,"Quantidade que vamos fazer, 200, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
Copyofcachorroquente-11_11_cleaned.csv,72,17,"venda, simples, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, premium, Unnamed: 8, Unnamed: 9, Unnamed: 10"
Copyofcachorroquente-orçamento2025_cleaned.csv,19,9,"Quantidade que vamos fazer, 200, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
CopyofBombomechup-chup2025-Fevereiro_raw.csv,75,16,"Unnamed: 0, SEMANA 1 , Chup chup, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
CopyofOBRABANHEIROSETEMBRO25-Orçamentos_raw.csv,54,15,"Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
Copyofcontadacasa-Entrada_saída2023e2024(dg)_cleaned.csv,148,10,"ENTRADA, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, SAÍDA, Unnamed: 8, Unnamed: 9, Unnamed: 10, Unnamed: 11"
Copyofcontadacasa-Entrada_saída2025-CONTANOVA(lofi)_cleaned.csv,102,34,"ENTRADA, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10"
Copyofcontadacasa-Geral_cleaned.csv,55,18,"Unnamed: 0, CEIA, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, CONTRIBUIÇÄO EX-ALUNAS, Unnamed: 7, Unnamed: 8, R$ 3.473,84"
Copyofcontadacasa-Entrada_saída2025(cr)._cleaned.csv,46,30,"Unnamed: 2, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10, Unnamed: 11, Unnamed: 12"
CopyofBombomechup-chup2025-Janeiro_raw.csv,75,16,"Unnamed: 0, SEMANA 1 , Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
CopyofBombomechup-chup2025-Página1_cleaned.csv,8,9,"Trios, Unnamed: 1, Unnamed: 2, Unnamed: 3, Valor na conta, Unnamed: 6, Saídas, Unnamed: 10, Unnamed: 11"
Copyofcontadacasa-EXTRATO_cleaned.csv,124,17,"Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10"
Copyofcontadacasa-Entrada_saída2024-CONTANOVA(dg)_cleaned.csv,25,10,"ENTRADA, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, SAÍDA, Unnamed: 8, Unnamed: 9, Unnamed: 10, Unnamed: 11"
Copyofcontadacasa-Entrada_saída2023(LF)_cleaned.csv,36,10,"ENTRADA, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, SAÍDA, Unnamed: 8, Unnamed: 9, Unnamed: 10, Unnamed: 11"
CopyofBombomechup-chup2025-Março_raw.csv,75,16,"Unnamed: 0, SEMANA 1 , Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
CopyofBombomechup-chup2025-Maio_raw.csv,75,16,"Unnamed: 0, SEMANA 1 , bombom, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
Copyofcachorroquente-valores11_11_cleaned.csv,37,15,"Quantidade que vamos fazer, 60, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10"
Copyofcontadacasa-Rifas_cleaned.csv,34,8,"Nome, Quantidade vendida, Valor a repassar, Valor repassado, Dívida, Cachoeira, R$ 0,00, Unnamed: 7"
CopyofBombomechup-chup2025-Abril_raw.csv,75,16,"Unnamed: 0, SEMANA 1 , Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
Copyofcontadacasa-21deabril_cleaned.csv,43,13,"Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 8, Unnamed: 11, Unnamed: 13, Unnamed: 14"
Copyofcontadacasa-Dívida2024_cleaned.csv,23,13,"Unnamed: 0, Diposto, Replay, Lo-Fi, Degê, Conká, Cérebro, Juíza, Adversária, R$ 1.100,00"
Copyofcontadacasa-Dívida2025_cleaned.csv,31,16,"Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9"
data_summary.csv,32,4,"File, Rows, Columns, Column_Names"
CopyofBombomechup-chup2025-Fevereiro_cleaned.csv,50,12,"Lista de compra, Unnamed: 1, Unnamed: 2, Unnamed: 3, Bombom/Chup Chup, Unnamed: 5, Unnamed: 6, Controle caixa, Unnamed: 8, Unnamed: 9"
CopyofOBRABANHEIROSETEMBRO25-Orçamentos_cleaned.csv,46,13,"Unnamed: 0, Unnamed: 1, leroy merlin, Unnamed: 3, Unnamed: 4, ABC da construção, Unnamed: 6, Unnamed: 7, Telha Norte, Unnamed: 9"
CopyofBombomechup-chup2025-Janeiro_cleaned.csv,48,12,"Lista de compra, Unnamed: 1, Unnamed: 2, Unnamed: 3, Bombom/Chup Chup, Unnamed: 5, Unnamed: 6, Controle caixa, Unnamed: 8, Unnamed: 9"
CopyofBombomechup-chup2025-Março_cleaned.csv,48,12,"Lista de compra, Unnamed: 1, Unnamed: 2, Unnamed: 3, Bombom/Chup Chup, Unnamed: 5, Unnamed: 6, Controle caixa, Unnamed: 8, Unnamed: 9"
CopyofBombomechup-chup2025-Maio_cleaned.csv,48,12,"Lista de compra, Unnamed: 1, Unnamed: 2, Unnamed: 3, Bombom/Chup Chup, Unnamed: 5, Unnamed: 6, Controle caixa, Unnamed: 8, Unnamed: 9"
CopyofBombomechup-chup2025-Abril_cleaned.csv,48,12,"Lista de compra, Unnamed: 1, Unnamed: 2, Unnamed: 3, Bombom/Chup Chup, Unnamed: 5, Unnamed: 6, Controle caixa, Unnamed: 8, Unnamed: 9"
